DATE,US HOME PRICE INDEX,GROSS DEMOSTRIC PRODUCT,HOMEOWNERSHIP RATE,HOUSING STARTS,MEDIAN SALES PRICE,MORTGAGE RATE,POPULATION,UNEMP RATE
2011-03-01,4.948625129525283,0.0,66.4,600.0,12.332269077986075,4.836,311551.0,2.302585092994046
2011-04-01,4.948830809849139,15557.539,65.9,554.0,12.337543792304956,4.84,311740.0,2.312535423847214
2011-05-01,4.9480859044354135,0.0,65.9,561.0,12.337543792304956,4.6375,311935.0,2.302585092994046
2011-06-01,4.947780687711426,0.0,65.9,608.0,12.337543792304956,4.51,312147.0,2.312535423847214
2011-07-01,4.946843161008476,15647.68,66.3,623.0,12.317171167298682,4.545,312372.0,2.302585092994046
2011-08-01,4.943847133304746,0.0,66.3,585.0,12.317171167298682,4.27,312605.0,2.302585092994046
2011-09-01,4.93926817774784,0.0,66.3,650.0,12.317171167298682,4.106,312842.0,2.302585092994046
2011-10-01,4.934128549751711,15842.259,66.0,610.0,12.306374889675654,4.0675,313060.0,2.2823823856765264
2011-11-01,4.928354528282369,0.0,66.0,711.0,12.306374889675654,3.9925,313260.0,2.2617630984737906
2011-12-01,4.924888571639326,0.0,66.0,694.0,12.306374889675654,3.958,313454.0,2.2512917986064953
2012-01-01,4.9244017962983255,16068.805,65.4,723.0,12.381709408795407,3.915,313636.0,2.2300144001592104
2012-02-01,4.923863888311233,0.0,65.4,704.0,12.381709408795407,3.89,313811.0,2.2300144001592104
2012-03-01,4.933783047041836,0.0,65.4,695.0,12.381709408795407,3.954,313993.0,2.2192034840549946
2012-04-01,4.942741818052605,16207.115,65.5,753.0,12.382967001677175,3.91,314176.0,2.2192034840549946
2012-05-01,4.9498585773806445,0.0,65.5,708.0,12.382967001677175,3.798,314368.0,2.2192034840549946
2012-06-01,4.956038302893036,0.0,65.5,757.0,12.382967001677175,3.675,314576.0,2.2192034840549946
2012-07-01,4.96052726192013,16319.541,65.5,740.0,12.42440865913169,3.55,314796.0,2.2192034840549946
